Container 2 removed from mobile quarantine facility.|1969-07-25T00:05:00|2019-07-25T00:05:00
Container 2 and film flown to Johnston Island.|1969-07-25T05:15:00|2019-07-25T05:15:00
Container 1 flown to Hickam Air Force Base, Hawaii.|1969-07-25T11:45:00|2019-07-25T11:45:00
Container 2 and film arrived in Houston, TX.|1969-07-25T16:15:00|2019-07-25T16:15:00
Container 1, film, and biological samples arrived in Houston.|1969-07-25T23:13:00|2019-07-25T23:13:00
CM decontaminated and hatch secured.|1969-07-26T03:00:00|2019-07-26T03:00:00
Mobile quarantine facility secured.|1969-07-26T04:35:00|2019-07-26T04:35:00
Mobile quarantine facility and CM offloaded.|1969-07-27T00:15:00|2019-07-27T00:15:00
Safing of CM pyrotechnics completed.|1969-07-27T02:05:00|2019-07-27T02:05:00
Mobile quarantine facility arrived at Ellington AFB, Houston.|1969-07-28T06:00:00|2019-07-28T06:00:00
Crew in Lunar Receiving Laboratory, Houston|1969-07-28T10:00:00|2019-07-28T10:00:00
CM delivered to Lunar Receiving Laboratory.|1969-07-30T23:17:00|2019-07-30T23:17:00
Passive seismic experiment turned off.|1969-08-03T11:58:46|2019-08-03T11:58:46
Crew released from quarantine.|1969-08-10T00:00:00|2019-08-10T00:00:00
CM delivered to contractors facility in Downey, CA.|1969-08-14T00:00:00|2019-08-14T00:00:00
EASEP turned off by ground command.|1969-08-27T00:00:00|2019-08-27T00:00:00
